subj,género,edad,ocupación,edad aprendizaje del espanol,donde ha crecido (los primeros 15 años),fecha,grabación,lugar de grabación,colorblindness
nc_1,femenino,59,maestra shaman,11,c.c.n.n. (porbenir),27/06/2017,1,hotel gauilanes,0
nc_2,masculino,48,agricultor,13,c.c.n.n. (pahoyan),28/06/2017,1,bena jema,0
nc_3,femenino,49,ama de casa,10,c.c.n.n. (curica del caco),29/06/2017,2,bena jema,2
nc_4,femenino,30,ama de casa,13,c.c.n.n. (santa rosita),29/06/2017,1,bena jema,2
nc_5,femenino,64,artesana,10,c.c.n.n. (panaillo),30/06/2017,1,bena jema,0
nc_6,femenino,22,ama de casa,5,c.c.n.n. (san francisco),30/06/2017,2,bena jema,0
nc_7,femenino,53,ama de casa,12,c.c.n.n. (eden),30/06/2017,3,bena jema,0
nc_8,femenino,22,ama de casa,10,c.c.n.n. (eden),30/06/2017,4,bena jema,0
nc_9,masculino,29,agricultor,5,c.c.n.n. (eden),30/06/2017,5,bena jema,0
nc_10,femenino,30,estudiante,10,c.c.n.n. (pahoyan),28/06/2017,2,bilingue,0
nc_11,masculino,23,estudiante,3,c.c.n.n. (vea vanta),29/06/2017,1,bilingue,0
nc_12,masculino,56,pescador,6,c.c.n.n. (pto belen),28/06/2017,1,bilingue,0
nc_13,femenino,32,estudiante,10,c.c.n.n. (pto belen),29/06/2017,2,bilingue,0
nc_14,femenino,42,artesana,5,san francisco,01/07/2017,7,san francisco,0
nc_15,femenino,58,ama de casa,10,calleria,01/07/2017,6,san francisco,0
nc_16,masculino,?,estudiante,5,iparia,03/07/2017,4,bilingue,0
nc_17,femenino,35,ama de casa,8,calleria,03/07/2017,3,bilingue,0
nc_18,femenino,40,artesana,8,pachitea,03/07/2017,2,bilingue,0
nc_19,femenino,38,ama de casa,10,pahoyan,03/07/2017,1,bilingue,0
nc_20,femenino,45,ama de casa,5,san juan,01/07/2017,5,san francisco,0
nc_21,femenino,47,artesana,10,betania,01/07/2017,4,san francisco,0
nc_22,femenino,64,artesana,12,calleria,01/07/2017,3,san francisco,0
nc_23,femenino,61,artesana,5,c.c.n.n. (san francisco),04/07/2017,2,san francisco,0
nc_24,masculino,41,agricultor,11,NA,01/07/2017,1,san francisco,0
nc_25,femenino,29,artesana,5,c.c.n.n. (betania),07/07/2017,5,betania,0
nc_26,femenino,38,artesana,5,c.c.n.n. (dimamarca),07/07/2017,4,betania,0
nc_27,femenino,28,artesana,5,caserio (libertad),07/07/2017,3,betania,0
nc_28,femenino,38,artesana,8,c.c.n.n. (palestina),07/07/2017,2,betania,0
nc_29,femenino,45,artesana,8,c.c.n.n. (palestina),07/07/2017,1,betania,0
nc_30,masculino,20,estudiante,3,c.c.n.n. (betania),06/07/2017,10,betania,0
nc_31,femenino,25,ama de casa,NA,c.c.n.n. (caimito),06/07/2017,9,betania,0
nc_32,femenino,20,estudiante,5,c.c.n.n. (betania),06/07/2017,8,betania,0
nc_33,femenino,26,ama de casa y estudiante,3,c.c.n.n. (betania),06/07/2017,7,betania,0
nc_34,femenino,42,artesana,8,c.c.n.n. (limon jema),06/07/2017,6,betania,0
nc_35,femenino,20,estudiante,5,c.c.n.n. (caco),06/07/2017,5,betania,0
nc_36,femenino,42,ama de casa,8,c.c.n.n. (caco),06/07/2017,4,betania,0
nc_37,femenino,26,ama de casa,10,c.c.n.n. (betania),06/07/2017,3,betania,0
nc_38,femenino,52,artesana,7,c.c.n.n. (betania),06/07/2017,2,betania,0
nc_39,femenino,20,ama de casa,8,c.c.n.n. (betania),06/07/2017,1,betania,0
