subj,prompt,range,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11
ec_1,verde,2-25,malua,noni,mango verde,pasto,amasisa,apio,culantro,coll,lechuga,,
ec_1,azul,,,,,,,,,,,,
ec_1,marrón,,,,,,,,,,,,
ec_1,negro,,,,,,,,,,,,
ec_1,rosa,,,,,,,,,,,,
ec_1,amarillo,,,,,,,,,,,,
ec_1,blanco,,,,,,,,,,,,
ec_1,naranja,,,,,,,,,,,,
ec_1,gris,,,,,,,,,,,,
ec_1,morado,,,,,,,,,,,,
ec_1,rojo,,,,,,,,,,,,
ec_2,verde,,,,,,,,,,,,
ec_2,azul,,,,,,,,,,,,
ec_2,marrón,,,,,,,,,,,,
ec_2,negro,,,,,,,,,,,,
ec_2,rosa,,,,,,,,,,,,
ec_2,amarillo,,,,,,,,,,,,
ec_2,blanco,,,,,,,,,,,,
ec_2,naranja,,,,,,,,,,,,
ec_2,gris,,,,,,,,,,,,
ec_2,morado,,,,,,,,,,,,
ec_2,rojo,,,,,,,,,,,,
ec_3,verde,,,,,,,,,,,,
ec_3,azul,,,,,,,,,,,,
ec_3,marrón,,,,,,,,,,,,
ec_3,negro,,,,,,,,,,,,
ec_3,rosa,,,,,,,,,,,,
ec_3,amarillo,,,,,,,,,,,,
ec_3,blanco,,,,,,,,,,,,
ec_3,naranja,,,,,,,,,,,,
ec_3,gris,,,,,,,,,,,,
ec_3,morado,,,,,,,,,,,,
ec_3,rojo,,,,,,,,,,,,
ec_4,verde,,,,,,,,,,,,
ec_4,azul,,,,,,,,,,,,
ec_4,marrón,,,,,,,,,,,,
ec_4,negro,,,,,,,,,,,,
ec_4,rosa,,,,,,,,,,,,
ec_4,amarillo,,,,,,,,,,,,
ec_4,blanco,,,,,,,,,,,,
ec_4,naranja,,,,,,,,,,,,
ec_4,gris,,,,,,,,,,,,
ec_4,morado,,,,,,,,,,,,
ec_4,rojo,,,,,,,,,,,,
ec_5,verde,,,,,,,,,,,,
ec_5,azul,,,,,,,,,,,,
ec_5,marrón,,,,,,,,,,,,
ec_5,negro,,,,,,,,,,,,
ec_5,rosa,,,,,,,,,,,,
ec_5,amarillo,,,,,,,,,,,,
ec_5,blanco,,,,,,,,,,,,
ec_5,naranja,,,,,,,,,,,,
ec_5,gris,,,,,,,,,,,,
ec_5,morado,,,,,,,,,,,,
ec_5,rojo,,,,,,,,,,,,
ec_6,verde,,,,,,,,,,,,
ec_6,azul,,,,,,,,,,,,
ec_6,marrón,,,,,,,,,,,,
ec_6,negro,,,,,,,,,,,,
ec_6,rosa,,,,,,,,,,,,
ec_6,amarillo,,,,,,,,,,,,
ec_6,blanco,,,,,,,,,,,,
ec_6,naranja,,,,,,,,,,,,
ec_6,gris,,,,,,,,,,,,
ec_6,morado,,,,,,,,,,,,
ec_6,rojo,,,,,,,,,,,,
ec_7,verde,,,,,,,,,,,,
ec_7,azul,,,,,,,,,,,,
ec_7,marrón,,,,,,,,,,,,
ec_7,negro,,,,,,,,,,,,
ec_7,rosa,,,,,,,,,,,,
ec_7,amarillo,,,,,,,,,,,,
ec_7,blanco,,,,,,,,,,,,
ec_7,naranja,,,,,,,,,,,,
ec_7,gris,,,,,,,,,,,,
ec_7,morado,,,,,,,,,,,,
ec_7,rojo,,,,,,,,,,,,
ec_8,verde,,,,,,,,,,,,
ec_8,azul,,,,,,,,,,,,
ec_8,marrón,,,,,,,,,,,,
ec_8,negro,,,,,,,,,,,,
ec_8,rosa,,,,,,,,,,,,
ec_8,amarillo,,,,,,,,,,,,
ec_8,blanco,,,,,,,,,,,,
ec_8,naranja,,,,,,,,,,,,
ec_8,gris,,,,,,,,,,,,
ec_8,morado,,,,,,,,,,,,
ec_8,rojo,,,,,,,,,,,,
ec_9,verde,,,,,,,,,,,,
ec_9,azul,,,,,,,,,,,,
ec_9,marrón,,,,,,,,,,,,
ec_9,negro,,,,,,,,,,,,
ec_9,rosa,,,,,,,,,,,,
ec_9,amarillo,,,,,,,,,,,,
ec_9,blanco,,,,,,,,,,,,
ec_9,naranja,,,,,,,,,,,,
ec_9,gris,,,,,,,,,,,,
ec_9,morado,,,,,,,,,,,,
ec_9,rojo,,,,,,,,,,,,
ec_10,verde,,,,,,,,,,,,
ec_10,azul,,,,,,,,,,,,
ec_10,marrón,,,,,,,,,,,,
ec_10,negro,,,,,,,,,,,,
ec_10,rosa,,,,,,,,,,,,
ec_10,amarillo,,,,,,,,,,,,
ec_10,blanco,,,,,,,,,,,,
ec_10,naranja,,,,,,,,,,,,
ec_10,gris,,,,,,,,,,,,
ec_10,morado,,,,,,,,,,,,
ec_10,rojo,,,,,,,,,,,,
ec_11,verde,,,,,,,,,,,,
ec_11,azul,,,,,,,,,,,,
ec_11,marrón,,,,,,,,,,,,
ec_11,negro,,,,,,,,,,,,
ec_11,rosa,,,,,,,,,,,,
ec_11,amarillo,,,,,,,,,,,,
ec_11,blanco,,,,,,,,,,,,
ec_11,naranja,,,,,,,,,,,,
ec_11,gris,,,,,,,,,,,,
ec_11,morado,,,,,,,,,,,,
ec_11,rojo,,,,,,,,,,,,
ec_12,verde,,,,,,,,,,,,
ec_12,azul,,,,,,,,,,,,
ec_12,marrón,,,,,,,,,,,,
ec_12,negro,,,,,,,,,,,,
ec_12,rosa,,,,,,,,,,,,
ec_12,amarillo,,,,,,,,,,,,
ec_12,blanco,,,,,,,,,,,,
ec_12,naranja,,,,,,,,,,,,
ec_12,gris,,,,,,,,,,,,
ec_12,morado,,,,,,,,,,,,
ec_12,rojo,,,,,,,,,,,,
ec_13,verde,,,,,,,,,,,,
ec_13,azul,,,,,,,,,,,,
ec_13,marrón,,,,,,,,,,,,
ec_13,negro,,,,,,,,,,,,
ec_13,rosa,,,,,,,,,,,,
ec_13,amarillo,,,,,,,,,,,,
ec_13,blanco,,,,,,,,,,,,
ec_13,naranja,,,,,,,,,,,,
ec_13,gris,,,,,,,,,,,,
ec_13,morado,,,,,,,,,,,,
ec_13,rojo,,,,,,,,,,,,
ec_14,verde,,,,,,,,,,,,
ec_14,azul,,,,,,,,,,,,
ec_14,marrón,,,,,,,,,,,,
ec_14,negro,,,,,,,,,,,,
ec_14,rosa,,,,,,,,,,,,
ec_14,amarillo,,,,,,,,,,,,
ec_14,blanco,,,,,,,,,,,,
ec_14,naranja,,,,,,,,,,,,
ec_14,gris,,,,,,,,,,,,
ec_14,morado,,,,,,,,,,,,
ec_14,rojo,,,,,,,,,,,,
ec_15,verde,,,,,,,,,,,,
ec_15,azul,,,,,,,,,,,,
ec_15,marrón,,,,,,,,,,,,
ec_15,negro,,,,,,,,,,,,
ec_15,rosa,,,,,,,,,,,,
ec_15,amarillo,,,,,,,,,,,,
ec_15,blanco,,,,,,,,,,,,
ec_15,naranja,,,,,,,,,,,,
ec_15,gris,,,,,,,,,,,,
ec_15,morado,,,,,,,,,,,,
ec_15,rojo,,,,,,,,,,,,
ec_16,verde,,,,,,,,,,,,
ec_16,azul,,,,,,,,,,,,
ec_16,marrón,,,,,,,,,,,,
ec_16,negro,,,,,,,,,,,,
ec_16,rosa,,,,,,,,,,,,
ec_16,amarillo,,,,,,,,,,,,
ec_16,blanco,,,,,,,,,,,,
ec_16,naranja,,,,,,,,,,,,
ec_16,gris,,,,,,,,,,,,
ec_16,morado,,,,,,,,,,,,
ec_16,rojo,,,,,,,,,,,,
ec_17,verde,,,,,,,,,,,,
ec_17,azul,,,,,,,,,,,,
ec_17,marrón,,,,,,,,,,,,
ec_17,negro,,,,,,,,,,,,
ec_17,rosa,,,,,,,,,,,,
ec_17,amarillo,,,,,,,,,,,,
ec_17,blanco,,,,,,,,,,,,
ec_17,naranja,,,,,,,,,,,,
ec_17,gris,,,,,,,,,,,,
ec_17,morado,,,,,,,,,,,,
ec_17,rojo,,,,,,,,,,,,
ec_18,verde,,,,,,,,,,,,
ec_18,azul,,,,,,,,,,,,
ec_18,marrón,,,,,,,,,,,,
ec_18,negro,,,,,,,,,,,,
ec_18,rosa,,,,,,,,,,,,
ec_18,amarillo,,,,,,,,,,,,
ec_18,blanco,,,,,,,,,,,,
ec_18,naranja,,,,,,,,,,,,
ec_18,gris,,,,,,,,,,,,
ec_18,morado,,,,,,,,,,,,
ec_18,rojo,,,,,,,,,,,,
ec_19,verde,,,,,,,,,,,,
ec_19,azul,,,,,,,,,,,,
ec_19,marrón,,,,,,,,,,,,
ec_19,negro,,,,,,,,,,,,
ec_19,rosa,,,,,,,,,,,,
ec_19,amarillo,,,,,,,,,,,,
ec_19,blanco,,,,,,,,,,,,
ec_19,naranja,,,,,,,,,,,,
ec_19,gris,,,,,,,,,,,,
ec_19,morado,,,,,,,,,,,,
ec_19,rojo,,,,,,,,,,,,
